date,location
09-15-2021,Shandong University
07-19-2021,Peking University
03-10-2021,Center for Science and Engineering Statistics
01-21-2021,Fudan University
09-24-2020,Tufts Human Factors Seminar
02-25-2020,Georgia Tech
09-23-2019,University of Minnesota
10-01-2018,Dagstuhl
08-22-2018,Hong Kong Univ Science and Technology
05-31-2018,DoD Visualization Workshop
04-18-2018,University of Konstanz
01-24-2018,National Academies of Sciences
01-08-2018,Luxembourg Inst Science and Technology
12-20-2017,University of Ghent
09-13-2017,Tufts Friedman School of Nutrition
08-30-2017,University of Colorado Boulder
04-03-2017,Draper
02-15-2017,MIT CSAIL Graphics Seminar
12-08-2016,University of Arizona
12-06-2016,Arizona State
11-10-2016,Department of Defense
